City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,Maragogi,-9.0122,-35.2225,78.31,80,43,7.31,BR,2022-01-31 02:54:09
519,Kamen-Rybolov,44.7481,132.0403,10.29,71,34,5.01,RU,2022-01-31 02:54:09
520,Cardenas,23.0375,-81.2047,56.39,61,0,7.02,CU,2022-01-31 02:54:10
521,Hay River,60.8156,-115.7999,-5.82,77,75,5.75,CA,2022-01-31 02:54:10
522,Aviles,43.5547,-5.9248,49.73,87,100,3.0,ES,2022-01-31 02:54:11
523,Osypenko,46.9136,36.8253,32.85,90,92,12.84,UA,2022-01-31 02:54:11
524,Lakatoro,-16.0999,167.4164,84.43,75,100,11.01,VU,2022-01-31 02:54:11
525,Tirumala,13.6833,79.35,66.38,78,0,1.66,IN,2022-01-31 02:54:12
526,Saltpond,5.2091,-1.0606,76.37,81,93,2.15,GH,2022-01-31 02:54:12
527,Pasni,25.2631,63.471,69.51,66,0,10.16,PK,2022-01-31 02:54:13
528,Dera Bugti,29.0307,69.151,59.02,31,0,3.83,PK,2022-01-31 02:54:13
529,Innisfail,-17.5333,146.0333,92.88,66,43,7.45,AU,2022-01-31 02:54:14
530,Champerico,14.3,-91.9167,80.04,71,11,5.59,GT,2022-01-31 02:54:14
531,Redmond,47.674,-122.1215,46.9,85,100,1.99,US,2022-01-31 02:51:57
532,Inuvik,68.3499,-133.7218,4.06,85,100,13.8,CA,2022-01-31 02:54:15
533,Aracati,-4.5617,-37.7697,80.02,76,51,13.0,BR,2022-01-31 02:54:15
534,Nago,26.5881,127.9761,60.96,54,83,15.46,JP,2022-01-31 02:54:15
535,Touros,-5.1989,-35.4608,77.9,81,3,9.6,BR,2022-01-31 02:53:17
536,Puerto Escondido,15.85,-97.0667,76.73,81,3,3.29,MX,2022-01-31 02:54:16
537,Christchurch,-43.5333,172.6333,71.8,66,75,8.01,NZ,2022-01-31 02:49:54
538,Cabo San Lucas,22.8909,-109.9124,71.51,73,80,5.14,MX,2022-01-31 02:54:04
539,Bheramara,24.0232,88.9925,64.63,46,0,2.39,BD,2022-01-31 02:54:17
540,Ulladulla,-35.35,150.4667,88.77,63,51,11.14,AU,2022-01-31 02:54:17
541,Hasaki,35.7333,140.8333,48.29,37,45,10.94,JP,2022-01-31 02:54:17
542,Mecca,21.4267,39.8261,66.61,64,99,3.94,SA,2022-01-31 02:54:18
543,Blackwater,-23.5833,148.8833,93.02,37,86,6.22,AU,2022-01-31 02:54:18
544,Kumluca,36.3703,30.2869,47.68,86,100,1.07,TR,2022-01-31 02:54:19
545,Havre-Saint-Pierre,50.2334,-63.5986,12.2,72,100,13.8,CA,2022-01-31 02:51:34
546,Silleda,42.696,-8.2465,46.26,75,0,3.6,ES,2022-01-31 02:54:19
547,Cap Malheureux,-19.9842,57.6142,79.47,81,80,5.99,MU,2022-01-31 02:54:20
548,Mocuba,-16.8392,36.9856,69.96,98,15,1.34,MZ,2022-01-31 02:54:20
549,Puri,19.8,85.85,61.32,62,5,5.32,IN,2022-01-31 02:54:20
550,Genhe,50.7833,121.5167,1.47,80,79,2.44,CN,2022-01-31 02:55:21
551,Zemio,5.0314,25.1361,64.69,31,70,3.44,CF,2022-01-31 02:55:21
552,Dukat,62.55,155.55,-7.67,95,81,6.46,RU,2022-01-31 02:55:22
553,Sinnamary,5.3833,-52.95,76.17,87,72,11.12,GF,2022-01-31 02:55:22
554,Hashtgerd,35.9642,50.6858,34.36,50,0,7.11,IR,2022-01-31 02:55:23
555,Mnogovershinnyy,53.9353,139.9242,4.42,88,100,7.92,RU,2022-01-31 02:55:23
556,Lahti,59.9911,30.1597,26.78,92,100,6.8,RU,2022-01-31 02:55:23
557,Obuasi,6.206,-1.6619,65.64,92,93,0.6,GH,2022-01-31 02:55:24
558,Candolim,15.5181,73.7626,69.8,83,0,3.44,IN,2022-01-31 02:55:24
559,Los Llanos De Aridane,28.6585,-17.9182,58.75,72,75,8.05,ES,2022-01-31 02:55:25
560,Atbasar,51.8,68.3333,13.41,95,95,11.95,KZ,2022-01-31 02:55:25
561,Suez,29.9737,32.5263,52.34,50,100,6.67,EG,2022-01-31 02:55:26
562,Kodiak,57.79,-152.4072,28.53,80,64,2.1,US,2022-01-31 02:53:16
563,Honiara,-9.4333,159.95,85.33,71,78,4.65,SB,2022-01-31 02:55:26
564,Rakai,-0.72,31.4839,65.21,69,100,1.36,UG,2022-01-31 02:55:27
565,La Asuncion,11.0333,-63.8628,76.73,83,61,9.22,VE,2022-01-31 02:55:20
566,Riyadh,24.6877,46.7219,51.94,45,6,10.02,SA,2022-01-31 02:51:30
567,Yar-Sale,66.8333,70.8333,-3.69,96,92,8.16,RU,2022-01-31 02:55:27
568,Mandurah,-32.55,115.7,81.21,43,52,16.53,AU,2022-01-31 02:55:28
569,Paka,4.6374,103.4368,80.53,83,20,3.44,MY,2022-01-31 02:55:29
570,Hamilton,39.1834,-84.5333,30.42,73,0,4.61,US,2022-01-31 02:50:30
571,Male,4.1748,73.5089,84.15,79,40,10.36,MV,2022-01-31 02:55:30
572,Baijiantan,45.6333,85.1833,4.5,94,88,0.76,CN,2022-01-31 02:55:30
573,Amiens,49.9,2.3,48.7,80,100,23.4,FR,2022-01-31 02:52:46
574,Mount Gambier,-37.8333,140.7667,84.11,51,3,6.91,AU,2022-01-31 02:55:31
575,Ejutla De Crespo,16.5667,-96.7333,64.13,68,90,4.25,MX,2022-01-31 02:55:31
576,Kushima,31.4583,131.2333,51.84,39,1,7.2,JP,2022-01-31 02:55:32
577,Vadso,70.0744,29.7487,7.68,83,57,9.62,NO,2022-01-31 02:55:32
578,Stykkisholmur,65.0757,-22.7297,21.31,63,100,14.36,IS,2022-01-31 02:55:33
579,Sabang,5.8933,95.3214,81.37,76,81,10.22,ID,2022-01-31 02:52:02
580,Kapit,2.0167,112.9333,86.04,65,98,2.06,MY,2022-01-31 02:55:33
581,Izmaylovo,53.7211,47.2458,17.91,96,99,6.42,RU,2022-01-31 02:55:34
582,Half Moon Bay,37.4636,-122.4286,54.97,85,75,1.01,US,2022-01-31 02:55:34
583,Nemuro,43.3236,145.575,18.03,53,13,13.15,JP,2022-01-31 02:55:34
584,Saint-Ambroise,48.5501,-71.3324,4.6,66,85,9.22,CA,2022-01-31 02:55:35
